Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N,P,K,ph,YEAR_x,humidity,YEAR_y,rainfall_nasa,temperature
Coconut ,1998,Whole Year ,Kerala,882288.0,5132000000,3151.5,87170054.4,255863.52,5304.749286,21.98,16.93,30.59,5.97656212619,,,,,
Rice,1998,Autumn     ,Kerala,120217.0,235849,3151.5,11877439.6,34862.93,1.856923077,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Summer     ,Kerala,57700.0,144872,3151.5,5700760.0,16733.0,2.116153846,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Winter     ,Kerala,174714.0,346022,3151.5,17261743.2,50667.06,1.937142857,79.89,47.58,39.87,6.425470922140001,,,,,
Banana,1998,Whole Year ,Meghalaya,5194.0,62888,6552.7,513167.2,1506.26,11.26714286,100.23,82.01,50.05,5.98389318024,,,,,
Jute,1998,Kharif     ,Meghalaya,4241.0,27097,6552.7,419010.8,1229.89,7.553333333,78.4,46.86,39.99,6.7327775681699995,,,,,
Maize,1998,Kharif     ,Meghalaya,17219.0,25272,6552.7,1701237.2,4993.51,1.457142857,77.76,48.44,19.79,6.2451897224,,,,,
Rice,1998,Kharif     ,Meghalaya,105402.0,149742,6552.7,10413717.6,30566.58,1.51,79.89,47.58,39.87,6.425470922140001,,,,,
Coconut ,1998,Whole Year ,West Bengal,24616.0,318174400,2152.5,2432060.8,7138.64,12448.06222,21.98,16.93,30.59,5.97656212619,,,,,
Jute,1998,Kharif     ,West Bengal,612066.0,7373630,2152.5,60472120.8,177499.14,13.24705882,78.4,46.86,39.99,6.7327775681699995,,,,,
Maize,1998,Kharif     ,West Bengal,38519.0,121161,2152.5,3805677.2,11170.51,2.634,77.76,48.44,19.79,6.2451897224,,,,,
Rice,1998,Autumn     ,West Bengal,425002.0,740688,2152.5,41990197.6,123250.58,1.751111111,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Summer     ,West Bengal,1450473.0,4921984,2152.5,143306732.4,420637.17,3.22,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Winter     ,West Bengal,4028620.0,7653780,2152.5,398027656.0,1168299.8,1.781666667,79.89,47.58,39.87,6.425470922140001,,,,,
Banana,1999,Whole Year ,Assam,41922.0,583383,2201.8,4449181.86,11318.94,13.74652174,100.23,82.01,50.05,5.98389318024,,,,,
Coconut ,1999,Whole Year ,Assam,20238.0,150062000,2201.8,2147858.94,5464.26,5672.116522,21.98,16.93,30.59,5.97656212619,,,,,
Jute,1999,Kharif     ,Assam,73545.0,657537,2201.8,7805330.85,19857.15,9.13173913,78.4,46.86,39.99,6.7327775681699995,,,,,
Maize,1999,Kharif     ,Assam,19708.0,14056,2201.8,2091610.04,5321.16,0.613913043,77.76,48.44,19.79,6.2451897224,,,,,
Rice,1999,Autumn     ,Assam,557220.0,514156,2201.8,59137758.6,150449.4,1.094782609,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1999,Summer     ,Assam,294654.0,653783,2201.8,31271629.02,79556.58,1.990434783,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1999,Winter     ,Assam,1793994.0,2692709,2201.8,190396583.2,484378.38,1.501304348,79.89,47.58,39.87,6.425470922140001,,,,,
Banana,1999,Whole Year ,Goa,1950.0,14500,3879.3,206953.5,526.5,7.44,100.23,82.01,50.05,5.98389318024,,,,,
Coconut ,1999,Whole Year ,Goa,24975.0,121580000,3879.3,2650596.75,6743.25,4868.07,21.98,16.93,30.59,5.97656212619,,,,,
Rice,1999,Kharif     ,Goa,40500.0,96281,3879.3,4298265.0,10935.0,2.38,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1999,Rabi       ,Goa,16213.0,43642,3879.3,1720685.69,4377.51,2.69,79.89,47.58,39.87,6.425470922140001,,,,,
Banana,1999,Whole Year ,Kerala,39046.0,398145,2914.6,4143951.98,10542.42,10.36285714,100.23,82.01,50.05,5.98389318024,,,,,
Coconut ,1999,Whole Year ,Kerala,925035.0,5680000000,2914.6,98173964.55,249759.45,5581.025714,21.98,16.93,30.59,5.97656212619,,,,,
Rice,1999,Autumn     ,Kerala,121525.0,252876,2914.6,12897448.25,32811.75,2.081538462,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1999,Summer     ,Kerala,58021.0,144551,2914.6,6157768.73,15665.67,2.292857143,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1999,Winter     ,Kerala,170228.0,373259,2914.6,18066297.64,45961.56,2.097142857,79.89,47.58,39.87,6.425470922140001,,,,,
Banana,1999,Whole Year ,Meghalaya,5319.0,63383,6200.3,564505.47,1436.13,11.16285714,100.23,82.01,50.05,5.98389318024,,,,,
Jute,1999,Kharif     ,Meghalaya,4235.0,31781,6200.3,449460.55,1143.45,6.76,78.4,46.86,39.99,6.7327775681699995,,,,,
Maize,1999,Kharif     ,Meghalaya,16637.0,24051,6200.3,1765684.81,4491.99,1.448571429,77.76,48.44,19.79,6.2451897224,,,,,
Rice,1999,Kharif     ,Meghalaya,102482.0,156887,6200.3,10876414.66,27670.14,1.605714286,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1999,Rabi       ,Meghalaya,3929.0,13846,6200.3,416984.77,1060.83,1.755714286,79.89,47.58,39.87,6.425470922140001,,,,,
Banana,1999,Whole Year ,Puducherry,282.0,8890,1434.5875,29928.66,76.14,29.25,100.23,82.01,50.05,5.98389318024,,,,,
Coconut ,1999,Whole Year ,Puducherry,2214.0,27816000,1434.5875,234971.82,597.78,12812.4475,21.98,16.93,30.59,5.97656212619,,,,,
Rice,1999,Kharif     ,Puducherry,25444.0,59433,1434.5875,2700371.72,6869.88,2.61,79.89,47.58,39.87,6.425470922140001,,,,,
Coconut ,1999,Whole Year ,West Bengal,24216.0,324305700,2318.1,2570044.08,6538.32,13592.12778,21.98,16.93,30.59,5.97656212619,,,,,
Jute,1999,Kharif     ,West Bengal,613923.0,7593680,2318.1,65155647.99,165759.21,13.94058824,78.4,46.86,39.99,6.7327775681699995,,,,,
Maize,1999,Kharif     ,West Bengal,35129.0,69682,2318.1,3728240.77,9484.83,1.941538462,77.76,48.44,19.79,6.2451897224,,,,,
Rice,1999,Autumn     ,West Bengal,427155.0,827970,2318.1,45333960.15,115331.85,1.868888889,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1999,Summer     ,West Bengal,1474338.0,4468400,2318.1,156471491.9,398071.26,2.897222222,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1999,Winter     ,West Bengal,4248946.0,8463310,2318.1,450940639.0,1147215.42,1.906666667,79.89,47.58,39.87,6.425470922140001,,,,,
Banana,2000,Whole Year ,Andhra Pradesh,49051.0,819660,935.6,4815336.67,12753.26,17.63090909,100.23,82.01,50.05,5.98389318024,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Coconut ,2000,Whole Year ,Andhra Pradesh,102646.0,1092707179,935.6,10076757.82,26687.96,9101.813684,21.98,16.93,30.59,5.97656212619,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Maize,2000,Kharif     ,Andhra Pradesh,430544.0,1107165,935.6,42266504.48,111941.44,2.564545455,77.76,48.44,19.79,6.2451897224,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Maize,2000,Rabi       ,Andhra Pradesh,97123.0,473602,935.6,9534564.91,25251.98,5.019545455,77.76,48.44,19.79,6.2451897224,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Kharif     ,Andhra Pradesh,3003673.0,8233806,935.6,294870578.4,780954.98,2.7,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Rabi       ,Andhra Pradesh,1239053.0,4224208,935.6,121637833.0,322153.78,2.939090909,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Banana,2000,Whole Year ,Assam,42534.0,590095,1965.5,4175562.78,11058.84,13.73217391,100.23,82.01,50.05,5.98389318024,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Coconut ,2000,Whole Year ,Assam,20913.0,135910000,1965.5,2053029.21,5437.38,5771.352609,21.98,16.93,30.59,5.97656212619,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Jute,2000,Kharif     ,Assam,69513.0,668439,1965.5,6824091.21,18073.38,9.794782609,78.4,46.86,39.99,6.7327775681699995,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Maize,2000,Kharif     ,Assam,20241.0,14616,1965.5,1987058.97,5262.66,0.605652174,77.76,48.44,19.79,6.2451897224,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Autumn     ,Assam,539665.0,557764,1965.5,52978913.05,140312.9,1.197826087,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Summer     ,Assam,329255.0,681027,1965.5,32322963.35,85606.3,1.825217391,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Winter     ,Assam,1777257.0,2759652,1965.5,174473319.7,462086.82,1.581304348,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Banana,2000,Whole Year ,Goa,2000.0,14745,3886.9,196340.0,520.0,7.37,100.23,82.01,50.05,5.98389318024,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Coconut ,2000,Whole Year ,Goa,25025.0,125120000,3886.9,2456704.25,6506.5,4999.8,21.98,16.93,30.59,5.97656212619,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Kharif     ,Goa,41000.0,96568,3886.9,4024970.0,10660.0,2.36,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Rabi       ,Goa,16207.0,45555,3886.9,1591041.19,4213.82,2.81,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Banana,2000,Whole Year ,Karnataka,35335.0,649567,1213.3,3468836.95,9187.1,18.36037037,100.23,82.01,50.05,5.98389318024,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Coconut ,2000,Whole Year ,Karnataka,335996.0,1762403000,1213.3,32984727.32,87358.96,4673.661111,21.98,16.93,30.59,5.97656212619,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Maize,2000,Kharif     ,Karnataka,599893.0,1961879,1213.3,58891495.81,155972.18,3.1712,77.76,48.44,19.79,6.2451897224,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Maize,2000,Rabi       ,Karnataka,57797.0,142674,1213.3,5673931.49,15027.22,2.397368421,77.76,48.44,19.79,6.2451897224,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Maize,2000,Summer     ,Karnataka,11165.0,31091,1213.3,1096068.05,2902.9,2.774761905,77.76,48.44,19.79,6.2451897224,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Kharif     ,Karnataka,1120549.0,2792657,1213.3,110004295.3,291342.74,2.357407407,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Rabi       ,Karnataka,52005.0,106335,1213.3,5105330.85,13521.3,2.064615385,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Summer     ,Karnataka,310892.0,947744,1213.3,30520267.64,80831.92,2.751304348,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Banana,2000,Whole Year ,Kerala,45059.0,327955,2412.6,4423442.03,11715.34,7.457857143,100.23,82.01,50.05,5.98389318024,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Coconut ,2000,Whole Year ,Kerala,925783.0,5536000000,2412.6,90884117.11,240703.58,5617.002143,21.98,16.93,30.59,5.97656212619,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Autumn     ,Kerala,129752.0,260306,2412.6,12737753.84,33735.52,1.938461538,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Summer     ,Kerala,55258.0,154606,2412.6,5424677.86,14367.08,2.23,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Winter     ,Kerala,162445.0,336416,2412.6,15947225.65,42235.7,2.042857143,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Banana,2000,Whole Year ,Meghalaya,5377.0,64100,6258.8,527860.09,1398.02,11.36285714,100.23,82.01,50.05,5.98389318024,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Jute,2000,Kharif     ,Meghalaya,4220.0,35816,6258.8,414277.4,1097.2,7.133333333,78.4,46.86,39.99,6.7327775681699995,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Maize,2000,Kharif     ,Meghalaya,16906.0,24250,6258.8,1659662.02,4395.56,1.437142857,77.76,48.44,19.79,6.2451897224,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Kharif     ,Meghalaya,102657.0,165907,6258.8,10077837.69,26690.82,1.681428571,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Rabi       ,Meghalaya,4003.0,13135,6258.8,392974.51,1040.78,1.744285714,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Banana,2000,Whole Year ,Puducherry,239.0,7532,1434.5875,23462.63,62.14,26.25,100.23,82.01,50.05,5.98389318024,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Coconut ,2000,Whole Year ,Puducherry,2233.0,24698000,1434.5875,219213.61,580.58,11937.4475,21.98,16.93,30.59,5.97656212619,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Kharif     ,Puducherry,42779.0,103606,1434.5875,4199614.43,11122.54,2.605,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Coconut ,2000,Whole Year ,West Bengal,24511.0,330524800,1907.7,2406244.87,6372.86,13234.92556,21.98,16.93,30.59,5.97656212619,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Jute,2000,Kharif     ,West Bengal,612994.0,7428400,1907.7,60177620.98,159378.44,13.52411765,78.4,46.86,39.99,6.7327775681699995,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Maize,2000,Kharif     ,West Bengal,35267.0,88264,1907.7,3462161.39,9169.42,2.568571429,77.76,48.44,19.79,6.2451897224,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Autumn     ,West Bengal,393944.0,683950,1907.7,38673482.48,102425.44,1.648333333,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Summer     ,West Bengal,1401841.0,4541328,1907.7,137618731.0,364478.66,3.021111111,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Rice,2000,Winter     ,West Bengal,3639538.0,7202760,1907.7,357293445.5,946279.88,1.876111111,79.89,47.58,39.87,6.425470922140001,2000.0,63.49908333333334,2000.0,45.000416666666666,25.27898148148148
Banana,2001,Whole Year ,Andhra Pradesh,50507.0,761365,928.4,5158279.91,13131.82,11.73363636,100.23,82.01,50.05,5.98389318024,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Coconut ,2001,Whole Year ,Andhra Pradesh,104244.0,1124969850,928.4,10646439.72,27103.44,9057.671111,21.98,16.93,30.59,5.97656212619,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Maize,2001,Kharif     ,Andhra Pradesh,337533.0,986011,928.4,34472245.29,87758.58,2.801818182,77.76,48.44,19.79,6.2451897224,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Maize,2001,Rabi       ,Andhra Pradesh,90752.0,470744,928.4,9268501.76,23595.52,5.592857143,77.76,48.44,19.79,6.2451897224,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Rice,2001,Kharif     ,Andhra Pradesh,2426073.0,6500545,928.4,247774835.5,630778.98,2.627272727,79.89,47.58,39.87,6.425470922140001,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Rice,2001,Rabi       ,Andhra Pradesh,1398674.0,4889246,928.4,142846575.6,363655.24,3.025909091,79.89,47.58,39.87,6.425470922140001,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Banana,2001,Whole Year ,Assam,43600.0,606192,1824.7,4452868.0,11336.0,13.77652174,100.23,82.01,50.05,5.98389318024,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Coconut ,2001,Whole Year ,Assam,21067.0,163597000,1824.7,2151572.71,5477.42,7700.721304,21.98,16.93,30.59,5.97656212619,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Jute,2001,Kharif     ,Assam,68178.0,674603,1824.7,6963019.14,17726.28,9.675652174,78.4,46.86,39.99,6.7327775681699995,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Maize,2001,Kharif     ,Assam,19600.0,13940,1824.7,2001748.0,5096.0,0.608695652,77.76,48.44,19.79,6.2451897224,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Rice,2001,Autumn     ,Assam,495698.0,487719,1824.7,50625636.74,128881.48,1.120434783,79.89,47.58,39.87,6.425470922140001,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Rice,2001,Summer     ,Assam,325987.0,653036,1824.7,33293052.31,84756.62,1.806521739,79.89,47.58,39.87,6.425470922140001,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Rice,2001,Winter     ,Assam,1714736.0,2713493,1824.7,175125987.7,445831.36,1.600434783,79.89,47.58,39.87,6.425470922140001,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Banana,2001,Whole Year ,Goa,2100.0,15482,2530.6,214473.0,546.0,7.37,100.23,82.01,50.05,5.98389318024,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Coconut ,2001,Whole Year ,Goa,25025.0,125120000,2530.6,2555803.25,6506.5,4999.8,21.98,16.93,30.59,5.97656212619,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Rice,2001,Kharif     ,Goa,32746.0,79071,2530.6,3344348.98,8513.96,2.41,79.89,47.58,39.87,6.425470922140001,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Rice,2001,Rabi       ,Goa,16637.0,47452,2530.6,1699136.81,4325.62,2.85,79.89,47.58,39.87,6.425470922140001,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Coconut ,2001,Whole Year ,Karnataka,369828.0,1503638000,1002.9,37770533.64,96155.28,4164.951481,21.98,16.93,30.59,5.97656212619,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Maize,2001,Kharif     ,Karnataka,505574.0,1274858,1002.9,51634272.62,131449.24,2.663333333,77.76,48.44,19.79,6.2451897224,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Maize,2001,Rabi       ,Karnataka,65189.0,152769,1002.9,6657752.57,16949.14,2.279,77.76,48.44,19.79,6.2451897224,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Maize,2001,Summer     ,Karnataka,9272.0,23960,1002.9,946949.36,2410.72,2.6265,77.76,48.44,19.79,6.2451897224,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Rice,2001,Kharif     ,Karnataka,1087967.0,2393946,1002.9,111114069.7,282871.42,2.154814815,79.89,47.58,39.87,6.425470922140001,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Rice,2001,Rabi       ,Karnataka,53480.0,99699,1002.9,5461912.4,13904.8,1.840714286,79.89,47.58,39.87,6.425470922140001,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Rice,2001,Summer     ,Karnataka,276277.0,740400,1002.9,28216170.01,71832.02,2.4368,79.89,47.58,39.87,6.425470922140001,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Banana,2001,Whole Year ,Kerala,50871.0,375903,2946.7,5195455.23,13226.46,7.347857143,100.23,82.01,50.05,5.98389318024,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Coconut ,2001,Whole Year ,Kerala,905718.0,5479000000,2946.7,92500979.34,235486.68,5636.355,21.98,16.93,30.59,5.97656212619,2001.0,64.25625,2001.0,55.5995,25.44282407407407
Rice,2001,Autumn     ,Kerala,116540.0,235838,2946.7,11902230.2,30300.4,1.886923077,79.89,47.58,39.87,6.425470922140001,2001.0,64.25625,2001.0,55.5995,25.44282407407407
